locat176 comcat.ComcatLocalCatalog test3 opensha-oaf/deployment/scripts/utsh/locat/cat_2015_m4.txt us20003k7a 30.000 90.0 400.0 3.5
Loading catalog: [opensha-oaf/deployment/scripts/utsh/locat/cat_2015_m4.txt]
Fetching event: us20003k7a
ObsEqkRupture:
rup_event_id = us20003k7a
rup_time = 1442444072860 (2015-09-16 22:54:32 UTC)
rup_mag = 8.3
rup_lat = -31.5729
rup_lon = -71.6744
rup_depth = 22.44
description = 48km W of Illapel, Chile
ids = ,us20003k7a,gcmt20150916225432,gcmt20150916225433,at00nuskyv,pt15259054,atlas20150916225432,
net = us
code = 20003k7a

Fetching event list
min_days = 30.0
max_days = 90.0
radius_km = 400.0
min_mag = 3.5
Events returned by fetchEventList = 209
List of events returned by fetchEventList:
150: us200041hl (time = 2015-11-03 01:43:28 UTC, mag = 4.700, lat = -30.57140, lon = -71.86820, depth = 28.090)
151: us200041e4 (time = 2015-11-02 20:13:45 UTC, mag = 4.700, lat = -31.38270, lon = -68.53780, depth = 104.350)
152: us2000420c (time = 2015-11-02 18:18:46 UTC, mag = 4.500, lat = -30.46380, lon = -72.74990, depth = 7.240)
153: us200041bh (time = 2015-11-02 16:48:58 UTC, mag = 4.400, lat = -30.43600, lon = -71.99720, depth = 17.490)
154: us20004145 (time = 2015-10-31 19:29:17 UTC, mag = 4.100, lat = -31.09440, lon = -71.82040, depth = 20.130)
155: us200041kb (time = 2015-10-30 12:41:40 UTC, mag = 4.200, lat = -31.70460, lon = -71.99300, depth = 34.980)
156: us200040nr (time = 2015-10-30 07:55:08 UTC, mag = 4.300, lat = -31.83090, lon = -72.05670, depth = 2.310)
157: us200040md (time = 2015-10-30 02:24:30 UTC, mag = 4.200, lat = -30.74210, lon = -71.56080, depth = 31.430)
158: us200040gn (time = 2015-10-29 14:08:57 UTC, mag = 4.400, lat = -30.61700, lon = -71.64200, depth = 43.000)
159: us200040ek (time = 2015-10-29 11:51:07 UTC, mag = 4.000, lat = -31.74100, lon = -72.19300, depth = 23.000)
160: us200040eh (time = 2015-10-29 11:34:30 UTC, mag = 4.300, lat = -31.77800, lon = -72.29670, depth = 10.310)
161: us200040e4 (time = 2015-10-29 10:31:27 UTC, mag = 4.600, lat = -31.71980, lon = -72.10000, depth = 10.000)
162: us200041ce (time = 2015-10-29 10:28:21 UTC, mag = 4.300, lat = -28.70860, lon = -70.50380, depth = 111.530)
163: us200040dv (time = 2015-10-29 06:34:47 UTC, mag = 4.100, lat = -34.69900, lon = -71.83700, depth = 41.500)
164: us200040d8 (time = 2015-10-29 03:19:22 UTC, mag = 4.200, lat = -31.75330, lon = -71.75240, depth = 31.090)
165: us2000402p (time = 2015-10-28 04:54:55 UTC, mag = 4.500, lat = -30.87130, lon = -71.45360, depth = 41.380)
166: us2000402g (time = 2015-10-28 04:12:06 UTC, mag = 4.100, lat = -30.29310, lon = -71.63890, depth = 35.730)
167: us20003zyf (time = 2015-10-27 18:32:30 UTC, mag = 4.400, lat = -32.77270, lon = -71.65890, depth = 26.580)
168: us10003rwm (time = 2015-10-27 16:21:56 UTC, mag = 4.400, lat = -34.79560, lon = -72.84540, depth = 9.740)
169: us10003rqs (time = 2015-10-27 04:05:57 UTC, mag = 4.300, lat = -30.84760, lon = -71.99580, depth = 26.860)
170: us10003rq5 (time = 2015-10-27 02:38:56 UTC, mag = 4.300, lat = -30.77280, lon = -72.10070, depth = 15.140)
171: us10003rpa (time = 2015-10-27 01:06:43 UTC, mag = 4.100, lat = -31.66210, lon = -72.13110, depth = 29.200)
172: us10003rii (time = 2015-10-26 14:26:21 UTC, mag = 4.500, lat = -30.07520, lon = -72.95450, depth = 10.000)
173: us10003rcs (time = 2015-10-25 22:15:45 UTC, mag = 4.000, lat = -31.91590, lon = -69.18430, depth = 112.920)
174: us10003rbt (time = 2015-10-25 16:34:26 UTC, mag = 4.300, lat = -30.44010, lon = -72.18580, depth = 10.000)
175: us10003ray (time = 2015-10-25 13:13:46 UTC, mag = 4.300, lat = -29.75320, lon = -71.38070, depth = 35.320)
176: us10003r82 (time = 2015-10-24 21:24:45 UTC, mag = 5.000, lat = -31.44200, lon = -71.48830, depth = 39.920)
177: us10003r77 (time = 2015-10-24 18:17:23 UTC, mag = 4.000, lat = -30.62670, lon = -71.70160, depth = 20.900)
178: us10003r73 (time = 2015-10-24 17:58:10 UTC, mag = 4.700, lat = -30.78850, lon = -72.72490, depth = 10.000)
179: us10003r6j (time = 2015-10-24 14:52:23 UTC, mag = 4.000, lat = -30.04200, lon = -71.30900, depth = 52.100)
180: us20004082 (time = 2015-10-24 10:43:24 UTC, mag = 4.000, lat = -30.42870, lon = -71.96380, depth = 17.900)
181: us2000407r (time = 2015-10-24 02:26:25 UTC, mag = 4.300, lat = -31.58020, lon = -71.54840, depth = 37.000)
